,track_name,popularity,album_url,playlist_uri,playlist_name,track_name_cleaned,key
63,Aleïa,26,https://i.scdn.co/image/ab67616d0000b273adf0997dc4e5ed265a2ae4bd,37i9dQZF1DXcWL5K0oNHcG,Jazz,Alea,Alea_Jazz
64,Alicia,23,https://i.scdn.co/image/ab67616d0000b2732c76f0b3719090e0834a755a,37i9dQZF1DWVhn3qoy98w6,España,Alicia,Alicia_España
65,Alive with you (feat. SFC.JGR),39,https://i.scdn.co/image/ab67616d0000b2733006b610ad0323ffa6377a12,37i9dQZF1DX7vZYLzFGQXc,Korea,Alive with you feat SFCJGR,Alive with you feat SFCJGR_Korea
66,All Hat,30,https://i.scdn.co/image/ab67616d0000b273d20c5520a82eb8a7ad62fb07,37i9dQZF1DWYUfsq4hxHWP,Country,All Hat,All Hat_Country
67,All I Need,24,https://i.scdn.co/image/ab67616d0000b2733f78367e0e906f00ec4ef448,37i9dQZF1DX4Xz5lDbaehp,2021,All I Need,All I Need_2021
68,All I See Is You,23,https://i.scdn.co/image/ab67616d0000b27330f457abfdbd70362b637d0d,37i9dQZF1DX8pdK1PVpBQz,NZ,All I See Is You,All I See Is You_NZ
69,All I Want - Original Mix,34,https://i.scdn.co/image/ab67616d0000b273b9f0ea34294647baeeea3319,37i9dQZF1DX6bBjHfdRnza,Dance,All I Want - Original Mix,All I Want - Original Mix_Dance
70,All Made Up,39,https://i.scdn.co/image/ab67616d0000b27317d716e36bf2734497ee1f45,37i9dQZF1DX4Xz5lDbaehp,2021,All Made Up,All Made Up_2021
71,All My Exes' Moms,62,https://i.scdn.co/image/ab67616d0000b273ad970d1fe314b677f872675a,37i9dQZF1DX3u9TSHqpdJC,Pop,All My Exes' Moms,All My Exes' Moms_Pop
72,All The Diamonds,38,https://i.scdn.co/image/ab67616d0000b273ac98bcdad33f156231e2af1b,37i9dQZF1DWUFAJPVM3HTX,R&B,All The Diamonds,All The Diamonds_R&B
